"Laufende
Nummer";"Regional-
schlüssel";"Gemeinde-
schlüsselnr.";"Vgem-
schlüssel";Bezeichnung;Spalte001;Spalte002;Spalte003;Spalte004;Spalte005;Spalte006;Spalte007;Spalte008;Spalte009;Spalte010;Spalte011;Spalte012;Spalte013;Spalte014;Spalte015;Spalte016;Spalte017;Spalte018;Spalte019;Spalte020;Spalte021;Spalte022;Spalte023;Spalte024;Spalte025;Spalte026;Spalte027;Spalte028;Spalte029;Spalte030;Spalte031;Spalte032;Spalte033;Spalte034;Spalte035;Spalte036;Spalte037;Spalte038;Spalte039;Spalte040;Spalte041;Spalte042;Spalte043;Spalte044;Spalte045;Spalte046;Spalte047;Spalte048;Spalte049;Spalte050;Spalte051;Spalte052;Spalte053;Spalte054;Spalte055;Spalte056;Spalte057;Spalte058;Spalte059;Spalte060;Spalte061;Spalte062;Spalte063;Spalte064;Spalte065;Spalte066;Spalte067;Spalte068;Spalte069;Spalte070;Spalte071;Spalte072;Spalte073;Spalte074;Spalte075;Spalte076;Spalte077;Spalte078;Spalte079;Spalte080;Spalte081;Spalte082;Spalte083;Spalte084;Spalte085;Spalte086;Spalte087;Spalte088;Spalte089;Spalte090;Spalte091;Spalte092;Spalte093;Spalte094;Spalte095;Spalte096;Spalte097;Spalte098;Spalte099;Spalte100;Spalte101;Spalte102;Spalte103;Spalte104;Spalte105;Spalte106;Spalte107;Spalte108;Spalte109;Spalte110;Spalte111;Spalte112;Spalte113;Spalte114;Spalte115;Spalte116;Spalte117;Spalte118;Spalte119;Spalte120;Spalte121;Spalte122;Spalte123;Spalte124;Spalte125;Spalte126;Spalte127;Spalte128;Spalte129;Spalte130;Spalte131;Spalte132;Spalte133;Spalte134;Spalte135;Spalte136;Spalte137;Spalte138;Spalte139;Spalte140;Spalte141;Spalte142;Spalte143;Spalte144;Spalte145
132;9173127;127;109;Greiling;7.6507;45.34;4.43;2.18;34.13;25.3;464.61;197.44;7.26;9.68;86.08;1038;1413;1457;717;40.366088632;3.113941967;135.68627451;190.45751634;66;128;50;118;93;380;316;306;13;14;12;11;3;104;131;90;115;16;58;42;32;0;0;0;0;0;0;0;0;0;0;0;134;73;61;18;0;•;38;49;•;109;81.3432835820896;543;518;95.3959484346225;-409;0;1;3;10;1;0;15;15;539;265;0;0;22;20;0;0;0;1388;99.1;1356;96.8;1356;96.8;•;126.3;6;26;8;12;5;4;1;0;6;1;-1;6;372;680;71;257;352;3196;0;0;0;3;3;0;3;0;0;0;0;3;3;•;716;29335.51;40971.3826815642;5367.592;7496.63687150838;694;490.459363957597;20177;29073.4870317003;1214.388;9.07;111.086;202.08;889.312;270.020839536;269.999756945;300.000995094;836.355371901;377.157713499;921.174242424;168.11243851;128.987482615
133;9173130;130;;Icking;16.9907;207.56;1.28;28.89;109.04;99.7;688.45;641.73;2.22;19.9;348.05;3186;3577;3780;1891;18.644067797;5.675146771;187.522071807;222.483814008;189;453;172;324;158;858;786;840;27;26;26;21;5;249;343;232;281;62;227;210;101;1;155;9;0;0;0;2;1092;95;0;0;464;230;234;127;17;99;63;172;113;370;79.7413793103448;1009;917;90.8820614469772;-547;0;3;8;10;1;1;23;23;705;349;•;11;51;36;2;•;•;3642;99.6;3507;95.9;3507;95.9;186;129.4;6;16;9;12;8;7;1;0;12;1;5;6;1170;1574;101;342;1131;9378;0;•;•;21;13;8;22;0;0;0;0;14;16;24;1734;145016.423;83631.1551326413;40454.808;23330.339100346;1479;400.813008130081;83494;56453.0087897228;4362.375;15.231;501.168;731.851;3105.012;250.01641497;250.000249418;299.999682534;1172.681451613;531.584139785;1308.971774194;0;0
134;9173131;131;;Jachenau;128.6349;52.09;4.17;4.64;158.35;158.35;1414.87;10736.86;119.72;372.79;218;828;845;848;420;2.415458937;0.355029586;6.437067558;6.592552282;73;81;23;72;49;220;167;163;15;10;6;9;1;34;39;36;33;6;43;41;34;1;43;3;0;0;0;0;0;0;0;0;81;47;34;3;•;42;23;3;•;32;39.5061728395062;263;214;81.3688212927757;-182;1;2;5;17;8;1;34;33;1154;398;•;•;9;7;0;0;0;793;94.3;0;0;0;0;61;141.7;7;34;0;1;3;0;3;0;10;3;4;3;200;369;23;155;191;1831;134;3318;13732;9;8;1;9;0;0;0;0;0;•;•;410;10829.284;26412.887804878;1229.773;2999.44634146342;364;416.953035509737;7847;21557.6923076923;562.719;18.741;55.369;163.005;324.719;280.00896459;279.99494311;320.001232457;671.502386635;409.329355609;743.46778043;423.049219688;429.731272295
135;9173133;133;108;Kochel a.See;80.1194;182.34;10.68;18.27;133.67;125.29;1280.51;3765.41;2134.46;486.6;344.16;3604;3953;4053;1993;12.458379578;2.52972426;44.982526211;50.58662007;191;326;124;299;230;1028;878;977;35;32;52;50;-18;453;467;433;395;72;153;136;76;2;117;8;0;0;0;0;0;0;0;0;1045;620;425;169;19;502;232;77;215;645;61.7224880382775;1441;1041;72.2414989590562;-396;1;8;13;14;2;2;40;39;1227;452;•;178;41;56;1;•;•;3986;99.6;3474;86.8;3474;86.8;310;136.8;17;105;13;22;13;8;4;1;27;3;7;17;1080;2238;286;1058;894;9928;1224;50525;169786;42;37;5;42;1;62;59;53;14;41;33;2031;71503.707;35206.1580502216;16753.194;8248.74150664697;1984;482.960077896787;50399;25402.7217741935;3516.847;19.977;501.229;729.792;2154.003;319.990389236;320.000127686;330.000182785;880.973697395;414.11247495;910.379008016;155.373530148;222.419209605
136;9173134;134;;Königsdorf;45.6753;137.82;23.29;39.46;113.3;94.53;2252.46;1890.51;66.1;44.59;292.47;2172;2942;3029;1517;39.456721915;2.957171992;47.548161121;66.30910683;172;245;126;250;180;771;735;550;25;30;26;25;5;190;201;171;183;18;102;98;63;2;212;18;0;0;0;0;0;0;0;0;548;315;233;62;5;280;134;28;101;377;68.7956204379562;1245;1074;86.2650602409638;-697;0;10;20;27;2;1;60;60;2055;783;•;•;41;26;4;143;6024;2960;98.9;2780;92.9;2780;92.9;1858;144.4;13;55;9;25;10;8;2;0;13;1;-1;13;847;1351;110;486;755;6880;242;21850;48322;13;11;2;14;0;0;0;0;•;3;9;1523;62129.427;40794.108338805;11751.867;7716.26198292843;1492;508.174386920981;46303;31034.18230563;3458.82;28.115;250.608;1161.043;2013.791;280.001991833;279.999553088;300.000189241;1136.648044693;776.697338153;1299.060795268;77.313253012;0
137;9173135;135;;Lenggries;242.9087;327.99;31.27;18.9;335.42;329.25;3948.42;16988.94;811.36;1828.57;692.16;8078;9608;10030;4883;24.164397128;4.392173189;33.255115063;41.291013132;569;938;350;783;509;2631;2099;2151;83;99;96;109;-10;579;695;518;493;202;268;285;205;2;606;40;1;498;35;1;399;37;0;0;1833;931;902;177;27;637;502;262;404;758;41.3529732678669;3537;2463;69.6352841391009;-1705;4;17;17;30;28;1;97;93;3102;1172;8;232;114;96;3;82;2640;9690;100;9581;98.9;9581;98.9;1066;136.8;29;199;9;21;20;8;7;5;56;9;23;24;2348;4850;702;2063;2085;21659;1707;62053;188650;41;32;9;39;1;57;57;49;26;77;70;4780;159946.886;33461.6916317992;25452.532;5324.79748953975;4509;456.931495743818;121693;26988.9110667554;8618.583;62.898;925.545;2323.422;5158.436;300;300;299.999902333;874.272976263;518.009941165;965.382430513;260.924900378;224.871581088
138;9173137;137;;Münsing;52.2295;252.42;11.31;56.73;230.67;230.67;2053.65;2547.93;44.29;25.95;546.55;3317;4076;4254;2109;28.248417244;4.367026497;63.507562703;81.447443998;207;402;176;311;221;1088;981;868;41;33;22;26;7;363;419;351;401;18;153;119;95;1;162;11;0;0;0;0;0;0;0;0;816;411;405;130;24;220;323;127;122;563;68.9950980392157;1469;1217;82.8454731109598;-654;1;5;21;43;7;2;79;78;4279;1923;10;75;71;61;0;0;0;4151;99.6;4018;96.4;4018;96.4;427;141.9;14;128;26;73;5;3;1;1;12;2;4;6;1162;1979;200;645;1134;10396;339;24837;63147;53;40;13;45;0;0;0;0;3;7;12;2094;140093.199;66902.1962750716;37915.842;18106.8968481375;1835;443.022694350556;79928;43557.4931880109;5055.233;44.442;590.806;963.73;3230.837;260.00117007;270.0000457;300;1189.466588235;593.067058824;1275.986352941;34.531078828;0
139;9173140;140;109;Reichersbeuern;15.401;75.41;28.79;2.18;52.89;49.57;608.61;735.15;9.68;27.39;144.38;1581;2253;2317;1153;46.552814674;2.840656902;102.662337662;150.454545455;130;183;108;242;127;662;496;369;17;20;21;17;3;175;180;130;175;5;91;77;56;1;180;10;0;0;0;1;112;19;0;0;282;132;150;25;•;65;80;•;98;197;69.8581560283688;902;817;90.5764966740577;-620;0;6;6;8;1;0;21;21;535;239;0;•;37;25;1;•;•;2257;100;2182;96.7;2182;96.7;•;123.8;14;26;11;25;3;3;0;0;6;2;1;3;541;1039;118;402;519;4948;•;•;•;7;6;1;8;0;0;0;0;3;8;11;1114;41662.895;37399.3671454219;6817.948;6120.24057450629;1079;483.856502242152;33294;30856.3484708063;1895.308;15.529;163.141;300.563;1412.875;270.022604764;269.998179501;299.999296429;820.124621376;340.374729554;897.295110342;127.816497574;156.128194023
140;9173141;141;109;Sachsenkam;15.9311;52.17;1.55;3.02;45.76;45.76;820.92;602.1;59.45;8.14;102.1;780;1286;1338;663;71.538461538;4.043545879;48.964218456;83.992467043;89;127;51;143;69;376;285;198;16;19;16;2;17;75;97;81;73;24;62;52;37;0;0;0;0;0;0;0;0;0;0;0;384;290;94;23;0;301;58;•;•;291;75.78125;525;432;82.2857142857143;-141;0;3;6;7;3;0;19;19;766;•;0;27;14;8;2;•;•;1280;98.4;1225;94.2;1225;94.2;69;128.4;3;17;1;3;6;6;0;0;9;1;3;5;328;554;40;187;327;2786;•;•;•;3;2;1;3;0;0;0;0;•;•;9;623;25752.528;41336.3210272873;4320.298;6934.66773675762;639;498.439937597504;20643;32305.1643192488;1377.09;13.475;97.116;310.575;947.222;269.985974755;269.999165948;300.000685518;1059.3;541.217692308;1172.118461538;37.970836531;0
141;9173142;142;108;Schlehdorf;25.3897;60.28;2.56;7.6;38.77;38.77;855.63;1258.82;211.78;103.53;107.58;931;1195;1223;579;31.364124597;2.343096234;36.667979519;48.168570303;54;95;51;111;66;291;288;267;9;15;16;20;-5;137;107;128;102;5;50;52;27;0;0;0;1;354;23;0;0;0;0;0;135;65;70;30;•;•;47;•;•;88;65.1851851851852;429;382;89.044289044289;-294;0;2;6;10;5;2;25;25;1602;702;0;75;8;5;1;•;•;1201;99.3;1110;91.7;1110;91.7;172;136.9;2;•;2;4;4;4;0;0;15;7;4;4;312;545;72;193;280;2626;•;5236;15916;5;4;1;5;1;41;41;43;3;4;9;564;18180.6;32235.1063829787;2687.544;4765.14893617021;552;457.71144278607;14919;27027.1739130435;873.194;11.651;78.935;133.806;638.547;299.974253347;270.001710279;319.999235795;713.39379085;263.665849673;757.831699346;238.889071487;264.896156991
142;9173145;145;;Wackersberg;64.8303;147.64;15.15;38.38;129.22;129.22;2795.16;3234.45;52.67;70.36;316.73;2763;3410;3523;1748;27.506333695;3.313782991;42.619157797;54.342125559;208;290;101;293;218;953;813;647;31;40;20;29;11;264;249;218;230;19;146;134;93;1;126;10;0;0;0;0;0;0;0;0;395;242;153;52;•;175;110;•;87;258;65.3164556962025;1296;1160;89.5061728395062;-902;1;9;28;51;9;0;98;97;3443;1560;19;184;43;32;0;0;0;3391;99.9;2794;82.3;2794;82.3;637;142.2;28;86;2;11;9;8;0;1;26;1;8;17;783;1717;263;750;704;7782;244;9872;27821;21;16;5;20;0;0;0;0;7;20;16;1642;66955.242;40776.6394640682;9811.661;5975.43300852619;1518;417.606602475929;39228;25841.8972332016;2547.629;39.409;233.19;472.315;1760.783;249.993656432;250;299.999523285;726.648317171;342.780661723;800.222760981;283.416423995;282.062410535
143;9173147;147;;Wolfratshausen, St;9.1329;326.25;8.27;58.74;95.62;86.4;170.63;213.34;24.41;16.03;492.61;15090;17151;18237;8802;20.854870775;6.331992304;1652.792990142;1997.480832421;1003;1534;542;1288;989;4973;3797;4111;162;167;200;222;-55;1578;1526;1260;1362;164;709;671;403;4;903;57;1;698;44;1;123;20;0;0;8204;4461;3743;1140;•;3384;2060;•;1697;6097;74.3174061433447;7266;5160;71.0156895127993;937;1;1;0;3;1;0;6;5;263;•;0;•;222;212;13;2101;111738;17642;99.9;17552;99.4;17552;99.4;1100;106.8;18;374;16;87;20;13;0;7;80;15;45;20;3880;8950;1521;4022;3407;37676;132;11692;28332;88;72;16;92;2;212;190;173;47;131;138;9107;355290.817;39012.9369715604;64027.31;7030.56000878445;9250;514.117385504669;302896;32745.5135135135;23304.877;3.335;2593.089;7165.09;13506.045;320.057581574;400.000154256;379.999964148;1284.935601257;600.002536252;1272.213375972;12.881466121;0
144;9173444;444;;Gemeindefreie Gebiete;8.0063;0.36;0.25;0.05;8.24;8.24;0.04;647.49;103.99;40.21;8.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;•;•;•;•;•;•;•;•;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
145;9174111;111;;Altomünster, M;75.6553;366.88;32.9;17.92;253.99;249.8;5119.34;1563.06;25.99;185.45;659.18;5563;7330;7835;3971;40.841272695;6.889495225;73.526301877;103.555379329;461;766;282;651;412;2170;1651;1442;53;86;86;99;-13;477;581;360;410;171;295;274;210;2;457;33;0;0;0;0;0;0;0;0;1308;751;557;165;26;470;214;242;356;808;61.7737003058104;3089;2590;83.8459048235675;-1782;5;11;35;48;24;3;126;121;7196;2629;2116;31;64;55;2;•;•;7536;100;6766;89.8;6766;89.8;469;138.5;13;223;31;37;42;37;4;1;59;7;5;47;2301;3156;153;731;2272;17867;132;7494;18504;26;22;4;30;2;214;204;137;70;86;145;3517;130448.869;37090.9493886835;21085.165;5995.21324992892;3557;480.351114112086;110772;31141.9735732359;6642.705;148.476;587.458;1386.541;4502.23;369.996760448;329.999213563;310.000016702;861.570038911;398.540466926;921.585862516;194.172241243;165.96874186
146;9174113;113;;Bergkirchen;59.9673;391.87;23.98;170.06;304.17;287.46;3963.82;897.99;104.31;140.53;885.86;5139;7175;7729;3968;50.398910294;7.721254355;85.692846423;128.88110722;459;712;265;581;460;2330;1700;1222;72;73;32;49;24;754;629;481;630;-1;408;406;192;2;420;30;0;0;0;0;0;0;0;0;4154;2884;1270;1150;35;1146;1895;738;340;3640;87.6263842079923;3285;2774;84.4444444444444;866;4;20;10;47;18;4;103;99;3979;1240;814;99;116;115;3;542;26080;7382;100;6969;94.4;6969;94.4;3398;135.1;13;72;13;19;27;23;2;2;49;5;15;29;2066;3136;176;1006;1954;16380;309;18375;39189;102;84;18;133;0;0;0;0;4;17;36;3652;157999.104;43263.7196056955;30213.572;8273.15772179628;3761;522.724113968033;126242;33566.0728529646;11563.234;81.678;844.063;5006.854;5612.42;250.001530409;250.000148093;300;1504.454072339;1224.718709342;1774.705048139;0;0
147;9174115;115;;Dachau, GKSt;34.9611;826.66;29.8;128.64;315.87;290.67;1649.76;357.38;56.78;131.22;1305.48;33823;43402;46705;22874;38.08650918;7.610248376;967.477116705;1335.955377574;2623;3969;1379;3611;3209;13854;9245;8815;445;443;388;396;47;3590;4062;3308;3410;652;2415;2292;1210;8;2625;169;1;997;62;2;2606;179;1;1571;14687;7021;7666;2327;63;3333;3914;2357;5020;10020;68.223599101246;19628;14965;76.2431220705115;-4945;3;4;8;13;9;4;41;38;767;267;•;1297;501;532;18;1949;99513;45160;100;44972;99.6;44972;99.6;•;117.4;29;358;51;160;68;42;11;15;177;35;85;57;7918;22525;4248;11667;6610;88287;549;49605;94792;269;233;36;294;3;357;335;210;128;363;462;23020;876824.867;38089.6988271069;158401.723;6881.04791485664;23974;564.014492071708;755042;31494.2020522232;53985.476;43.939;5115.839;15958.631;32791.48;300.006827803;330.000051604;350.000027012;1164.584433515;579.856437139;1212.229161274;76.066635979;55.244971186
148;9174118;118;;Erdweg;36.0604;213.93;13.68;12.03;140.73;133.44;2214.61;916.75;20.54;73.77;372.33;4026;5501;5782;2950;43.616492797;5.108162152;111.647254576;160.343871326;313;520;208;470;320;1687;1298;966;43;42;52;28;14;416;375;355;402;-27;229;204;132;2;390;28;0;0;0;0;0;0;0;0;815;426;389;135;13;444;135;57;166;552;67.7300613496932;2540;2277;89.6456692913386;-1725;0;8;13;20;9;3;53;53;1840;403;1082;28;74;46;1;•;•;5686;100;5567;97.9;5567;97.9;650;135.9;15;64;19;21;21;20;1;0;27;1;2;24;1674;2485;125;761;1599;13186;•;•;•;33;31;2;41;0;0;0;0;7;8;21;2751;100347.19;36476.623046165;16108.421;5855.47837150127;2920;521.8945487042;90289;30920.8904109589;6742.554;55.594;471.325;2540.117;3662.698;309.992193599;310.000657722;320.000098584;1154.15166039;762.743238617;1268.881889764;162.74886799;191.759668508
149;9174121;121;;Haimhausen;26.926;160.33;13.51;19.59;91.69;91.69;1774.71;521.57;56.54;54.66;286.25;3673;4932;5332;2697;45.167438062;8.110300081;136.390642406;197.994801337;285;492;166;481;324;1460;1221;903;38;51;32;35;16;588;564;493;484;80;297;228;122;3;957;137;0;0;0;0;0;0;0;0;827;358;469;268;•;158;166;•;366;620;74.9697702539299;2197;1993;90.714610832954;-1373;1;3;9;10;10;4;37;36;1703;158;•;•;50;45;0;0;0;5105;100;4992;97.8;4992;97.8;•;128.8;3;20;36;62;45;40;1;4;69;2;25;42;1480;2249;146;756;1347;11434;•;•;•;18;15;3;16;0;0;0;0;•;12;24;2512;130051.096;51771.9331210191;27915.162;11112.7237261146;2667;545.064377682404;107037;40133.8582677165;5990.31;45.044;425.773;1373.672;4130.556;299.993339993;300.000704602;320.00012622;1149.550949914;457.478602955;1221.836499712;0;0
150;9174122;122;;Hebertshausen;29.5712;197.18;9.43;18.81;129.34;112.4;2157.48;278.34;77.96;88.58;352.27;4128;5313;5484;2769;32.848837209;3.21852061;139.600946906;185.458234697;324;520;187;455;254;1579;1175;990;45;51;37;41;10;408;487;371;438;49;283;258;152;2;325;24;0;0;0;0;0;0;0;0;741;435;306;151;22;350;132;73;164;576;77.7327935222672;2305;2140;92.8416485900217;-1564;3;2;7;13;14;4;43;40;1244;306;2399;191;55;43;3;398;10183;5311;99.9;5299;99.7;5299;99.7;•;127.9;5;31;35;52;18;14;4;0;28;0;5;23;1529;2326;108;805;1413;11996;101;4949;12975;22;20;2;22;0;0;0;0;•;8;26;2554;112747.624;44145.5066562255;22480.275;8801.98707909162;2751;517.008081187747;93234;33890.9487459106;5271.299;47.2;522.736;824.21;3859.03;280.002372901;309.999110452;300.000323396;966.147177419;342.712243402;1031.052602639;90.831226766;86.425516224
151;9174126;126;;Karlsfeld;15.6025;296.1;15.22;81.61;138.4;122.6;818.09;93.03;70.24;47.56;532.32;13650;18117;20096;10090;47.223443223;10.923442071;875;1288.205128205;1264;1501;575;1598;1318;5919;4036;3885;217;214;199;225;-11;1894;2546;1551;1774;772;1255;1122;505;3;1051;65;0;0;0;0;0;0;0;0;5690;3104;2586;1521;41;1344;1769;1625;911;4631;81.3884007029877;8670;7616;87.843137254902;-2985;0;2;3;1;1;2;9;9;0;0;0;•;221;221;11;1423;49401;18696;99.9;18564;99.2;18564;99.2;894;112.1;17;78;50;338;64;50;3;11;188;49;53;86;3720;9002;1268;4441;3293;37812;172;10630;19085;77;68;9;84;3;455;418;301;49;117;191;9827;382182.935;38891.1096977714;67706.04;6889.79749669279;10500;573.990050839119;325634;31012.7619047619;21982.004;17.733;2166.884;5664.388;14104.773;300;320.000118142;319.999936254;1123.939257593;556.223642499;1207.681869312;95.544883635;37.097872781
152;9174131;131;;Markt Indersdorf, M;68.4161;377.05;19.95;95.67;243.18;233.04;4966.51;997.37;30.56;111.32;735.01;7240;9437;10223;5267;41.201657459;8.328918088;105.817012569;149.415375621;509;798;363;988;716;2796;2205;1848;66;89;99;98;-9;770;1689;637;1256;433;457;410;229;2;751;61;1;865;56;1;1029;69;0;0;1905;949;956;275;37;673;530;191;474;1253;65.7742782152231;4422;3771;85.2781546811397;-2518;1;18;32;58;22;5;136;135;6368;1864;4160;•;108;109;3;363;•;9620;100;8910;92.6;8842;91.9;498;129.9;18;111;24;38;41;33;5;3;86;4;33;49;2486;4353;374;1607;2372;21703;172;4423;17662;52;42;10;64;1;160;130;121;19;42;74;4942;184651.454;37363.7098340753;30588.961;6189.59146094698;5215;556.148021755359;158157;30327.3250239693;9466.129;139.514;997.924;1814.734;6498.32;329.999763465;330.000231481;319.999893029;945.100738818;411.370507188;1002.412240415;79.626121944;119.336669049
153;9174135;135;;Odelzhausen;30.4437;200.04;26.79;69.11;152.8;152.8;1682.67;839.52;15.12;58.32;449.45;3211;4437;4965;2493;54.624727499;11.899932387;105.486202365;163.107752957;328;450;147;381;285;1492;1060;822;45;46;40;46;0;441;556;400;317;239;187;196;128;2;509;36;1;198;16;0;0;0;0;0;1664;943;721;174;•;728;487;•;321;1322;79.4471153846154;2128;1787;83.9755639097744;-465;2;4;11;11;10;2;40;38;1684;431;1038;•;93;55;4;316;13249;4600;100;4568;99.3;4568;99.3;•;146.5;12;76;17;38;53;43;9;1;71;2;18;51;1338;2187;237;700;1250;10915;135;10973;16212;28;23;5;38;1;66;65;41;27;15;76;2339;93628.559;40029.3112441214;16091.287;6879.55835827277;2424;562.152133580705;76133;31408.00330033;5355.82;40.288;511.442;1496.553;3298.277;275.003412969;274.999865576;314.999891203;1116.493641859;591.730248072;1229.140296018;0;0
154;9174136;136;;Petershausen;32.7879;176.31;3.87;13.84;157.23;122.71;2184.55;634.69;20.16;88.14;353.24;4327;6065;6394;3190;47.769817425;5.424567189;131.960963708;194.998475145;408;595;192;560;428;1793;1375;1043;68;53;37;37;16;413;497;366;405;92;389;320;210;3;285;22;0;0;0;0;0;0;0;0;960;459;501;131;10;209;474;111;156;754;78.5416666666667;2687;2481;92.3334573874209;-1727;1;7;9;10;7;4;38;37;2107;796;1107;•;74;66;3;192;4007;6175;100;6117;99.1;6117;99.1;147;109.1;9;38;17;32;26;22;3;1;44;6;13;25;1647;2781;257;978;1546;13805;•;•;•;25;20;5;22;0;0;0;0;18;32;49;3176;123373.468;38845.5503778338;21427.675;6746.74905541562;3403;556.9558101473;111192;32674.6987951807;6817.114;54.415;639.161;1622.374;4487.491;360.006615944;359.999436763;360.000290653;1078.316039228;443.4985764;1096.47564062;58.7724049;44.925230671
155;9174137;137;;Pfaffenhofen a.d.Glonn;20.8855;88.92;22.95;3.98;80.98;80.98;1506.12;352.49;8.84;24.27;190.97;1345;1770;2040;1033;51.672862454;15.254237288;64.384873145;97.654380086;139;183;66;163;109;647;429;304;15;15;10;11;4;205;146;126;108;38;117;89;61;0;0;0;0;0;0;0;0;0;0;0;276;185;91;57;•;145;22;79;•;190;68.8405797101449;840;755;89.8809523809524;-565;0;2;5;17;8;1;33;33;1572;338;1697;360;43;25;1;•;•;1867;100;1820;97.5;1820;97.5;•;133.5;4;24;12;14;38;35;1;2;51;2;6;43;621;830;23;210;597;4795;0;0;0;9;9;0;11;0;0;0;0;•;6;•;875;36423.362;41626.6994285714;6793.387;7763.87085714286;871;482.548476454294;25154;28879.4489092997;2004.158;40.076;160.907;684.118;1114.357;389.996107435;299.998135581;299.999655193;996.102385686;661.519880716;1122.963717694;10.1975954;34.930930931
156;9174141;141;;Röhrmoos;31.7473;183.47;10.96;21.08;128.11;110.04;2127.33;641.47;10.63;51.68;348.9;5017;6060;6429;3195;28.144309348;6.089108911;158.015748031;202.488188976;341;546;209;520;393;1854;1395;1171;42;64;56;60;4;381;477;352;319;158;305;274;161;1;188;11;0;0;0;0;0;0;0;0;2297;701;1596;162;13;108;142;49;1985;1756;76.4475402699173;2667;2126;79.7150356205474;-370;2;10;4;13;8;7;44;42;1379;199;3581;142;48;54;0;0;0;6229;100;6201;99.6;6201;99.6;710;88;5;22;9;10;35;29;2;4;66;5;26;35;1562;2456;123;771;1562;12795;109;5506;13293;30;29;1;47;1;72;71;51;542;519;662;2961;113362.837;38285.3215130024;19894.478;6718.83755488011;3224;513.294061455182;99789;30951.9230769231;5395.769;58.758;444.7;675.041;4206.721;300;300.000674614;300.000337071;858.105756997;278.844147583;913.663167939;144.106206014;170.225626296
157;9174143;143;;Schwabhausen;30.2326;182.96;10.33;12.82;110.24;104.72;2025.09;626.29;10.43;45.1;317.98;3648;6090;6416;3241;75.877192982;5.353037767;120.674826331;212.239497188;401;645;223;508;346;1844;1404;1045;59;72;34;32;40;516;465;442;409;56;442;369;198;1;246;18;0;0;0;0;0;0;0;0;716;428;288;112;32;274;227;90;93;532;74.3016759776536;2817;2633;93.4682286119986;-2101;0;5;9;18;10;5;47;47;1885;620;1727;11;63;87;0;0;0;6155;99.7;5989;97.1;5989;97.1;301;118.4;3;44;12;16;38;31;3;4;66;5;26;35;1678;2735;214;905;1616;13887;99;6227;15191;23;19;4;22;0;0;0;0;•;14;38;3015;117304.961;38907.1180762852;19671.923;6524.68424543947;3254;524.923374737861;102163;31396.1278426552;5942.023;51.351;459.646;1056.023;4362.053;279.994547437;280.000487332;299.999783387;938.411718256;383.731838282;1020.674036639;84.346091991;104.174738841
158;9174146;146;;Sulzemoos;19.0406;110.8;26.04;7.65;107.79;107.79;1171.26;427.91;6;46.61;252.9;1792;2551;2700;1349;50.669642857;5.840846727;94.117647059;141.806722689;165;229;108;252;133;812;623;378;20;31;16;16;15;293;368;280;366;2;319;213;114;0;0;0;0;0;0;0;0;0;0;0;562;375;187;121;•;147;297;108;•;455;80.9608540925267;1308;1201;91.8195718654434;-746;0;3;5;8;6;2;24;24;1179;255;554;•;62;32;0;0;0;2647;100;2616;98.8;2616;98.8;•;155.3;5;32;42;53;31;28;3;0;45;3;13;29;754;1191;43;417;731;6267;119;6981;19570;43;36;7;68;0;0;0;0;•;8;•;1307;50866.821;38918.7612853864;8257.787;6318.12318286151;1377;516.116941529235;43080;31285.4030501089;3270.495;24.997;226.414;1117.508;1896.704;249.9949995;249.998895833;300.00019686;1202.387867647;842.166176471;1390.065441176;0;0
159;9174147;147;;Hilgertshausen-Tandern;28.6835;152.26;20.2;9.24;103.28;103.28;1852.41;653.82;6.5;70.64;273.81;2348;3139;3307;1692;40.843270869;5.352022937;81.868898187;115.306834031;195;327;119;258;189;909;746;564;31;33;19;21;12;230;185;190;155;30;165;168;87;1;132;9;0;0;0;0;0;0;0;0;470;300;170;61;4;331;29;56;50;305;64.8936170212766;1358;1193;87.8497790868925;-888;2;7;18;17;8;3;55;53;2188;549;•;131;25;29;3;161;5628;3199;100;3017;94.3;3017;94.3;•;128.5;7;48;24;26;18;14;3;1;30;3;11;16;1000;1401;54;442;905;7668;•;•;•;11;9;2;14;0;0;0;0;5;8;24;1559;58399.246;37459.4265554843;9543.465;6121.52982681206;1633;517.099430019;50543;30951.0104102878;2715.389;41.005;240.2;467.521;1960.36;300.007316359;299.998751046;299.999520965;831.665849923;349.079938744;900.878713629;152.969470405;164.671157379
